"LoincNumber","PartNumber","PartTypeName","PartSequenceOrder","PartName"
"57162-0","LP173022-7","Document.SubjectMatterDomain","1","Respiratory therapy"
"57163-8","LP173418-7","Document.Kind","1","Note"
"57163-8","LP173238-9","Document.TypeOfService","1","Referral"
"57163-8","LP173061-5","Document.Setting","1","{Setting}"
"57163-8","LP173023-5","Document.SubjectMatterDomain","1","Rheumatology"
"57164-6","LP173418-7","Document.Kind","1","Note"
"57164-6","LP173238-9","Document.TypeOfService","1","Referral"
"57164-6","LP173061-5","Document.Setting","1","{Setting}"
"57164-6","LP173024-3","Document.SubjectMatterDomain","1","Social work"
"57165-3","LP173418-7","Document.Kind","1","Note"
"57165-3","LP173238-9","Document.TypeOfService","1","Referral"
"57165-3","LP173061-5","Document.Setting","1","{Setting}"
"57165-3","LP173025-0","Document.SubjectMatterDomain","1","Speech-language pathology"
"57166-1","LP173418-7","Document.Kind","1","Note"
"57166-1","LP173238-9","Document.TypeOfService","1","Referral"
"57166-1","LP173061-5","Document.Setting","1","{Setting}"
"57166-1","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"57167-9","LP173418-7","Document.Kind","1","Note"
"57167-9","LP173238-9","Document.TypeOfService","1","Referral"
"57167-9","LP173061-5","Document.Setting","1","{Setting}"
"57167-9","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"57168-7","LP173418-7","Document.Kind","1","Note"
"57168-7","LP173238-9","Document.TypeOfService","1","Referral"
"57168-7","LP173061-5","Document.Setting","1","{Setting}"
"57168-7","LP173036-7","Document.SubjectMatterDomain","1","Urology"
"57169-5","LP173418-7","Document.Kind","1","Note"
"57169-5","LP173238-9","Document.TypeOfService","1","Referral"
"57169-5","LP173061-5","Document.Setting","1","{Setting}"
"57169-5","LP173039-1","Document.SubjectMatterDomain","1","Vascular surgery"
"57170-3","LP173418-7","Document.Kind","1","Note"
"57170-3","LP173238-9","Document.TypeOfService","1","Referral"
"57170-3","LP173061-5","Document.Setting","1","{Setting}"
"57170-3","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"57171-1","LP173418-7","Document.Kind","1","Note"
"57171-1","LP173238-9","Document.TypeOfService","1","Referral"
"57171-1","LP173061-5","Document.Setting","1","{Setting}"
"57171-1","LP172947-6","Document.SubjectMatterDomain","1","Geriatric medicine"
"57172-9","LP173418-7","Document.Kind","1","Note"
"57172-9","LP173238-9","Document.TypeOfService","1","Referral"
"57172-9","LP173061-5","Document.Setting","1","{Setting}"
"57172-9","LP175685-9","Document.SubjectMatterDomain","1","Hematology"
"57172-9","LP175686-7","Document.SubjectMatterDomain","2","Medical Oncology"
"57173-7","LP173418-7","Document.Kind","1","Note"
"57173-7","LP173238-9","Document.TypeOfService","1","Referral"
"57173-7","LP173061-5","Document.Setting","1","{Setting}"
"57173-7","LP172899-9","Document.SubjectMatterDomain","1","Nutrition and dietetics"
"57174-5","LP173418-7","Document.Kind","1","Note"
"57174-5","LP173238-9","Document.TypeOfService","1","Referral"
"57174-5","LP173061-5","Document.Setting","1","{Setting}"
"57174-5","LP172902-1","Document.SubjectMatterDomain","1","Oral and maxillofacial surgery"
"57175-2","LP173418-7","Document.Kind","1","Note"
"57175-2","LP173238-9","Document.TypeOfService","1","Referral"
"57175-2","LP173061-5","Document.Setting","1","{Setting}"
"57175-2","LP172978-1","Document.SubjectMatterDomain","1","Orthopaedic surgery"
"57176-0","LP173418-7","Document.Kind","1","Note"
"57176-0","LP173238-9","Document.TypeOfService","1","Referral"
"57176-0","LP173061-5","Document.Setting","1","{Setting}"
"57176-0","LP172980-7","Document.SubjectMatterDomain","1","Otolaryngology"
"57177-8","LP173418-7","Document.Kind","1","Note"
"57177-8","LP173238-9","Document.TypeOfService","1","Referral"
"57177-8","LP173061-5","Document.Setting","1","{Setting}"
"57177-8","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"57178-6","LP173418-7","Document.Kind","1","Note"
"57178-6","LP173238-9","Document.TypeOfService","1","Referral"
"57178-6","LP173061-5","Document.Setting","1","{Setting}"
"57178-6","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"57179-4","LP173418-7","Document.Kind","1","Note"
"57179-4","LP173238-9","Document.TypeOfService","1","Referral"
"57179-4","LP173061-5","Document.Setting","1","{Setting}"
"57179-4","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"57828-6","LP181534-1","Document.Kind","1","Prescription list"
"57828-6","LP173061-5","Document.Setting","1","{Setting}"
"57828-6","LP187187-2","Document.Role","1","{Role}"
"57829-4","LP181531-7","Document.Kind","1","Prescription for medical equipment or product"
"57829-4","LP173061-5","Document.Setting","1","{Setting}"
"57829-4","LP187187-2","Document.Role","1","{Role}"
"57831-0","LP181533-3","Document.Kind","1","Prescription for rehabilitation"
"57831-0","LP173061-5","Document.Setting","1","{Setting}"
"57831-0","LP187187-2","Document.Role","1","{Role}"
"57832-8","LP181529-1","Document.Kind","1","Prescription for diagnostic or specialist care"
"57832-8","LP173061-5","Document.Setting","1","{Setting}"
"57832-8","LP187187-2","Document.Role","1","{Role}"
"57833-6","LP181532-5","Document.Kind","1","Prescription for medication"
"57833-6","LP173061-5","Document.Setting","1","{Setting}"
"57833-6","LP187187-2","Document.Role","1","{Role}"
"59258-4","LP173418-7","Document.Kind","1","Note"
"59258-4","LP173221-5","Document.TypeOfService","1","Discharge summary"
"59258-4","LP173043-3","Document.Setting","1","Emergency department"
"59258-4","LP187187-2","Document.Role","1","{Role}"
"59259-2","LP173418-7","Document.Kind","1","Note"
"59259-2","LP173221-5","Document.TypeOfService","1","Discharge summary"
"59259-2","LP173061-5","Document.Setting","1","{Setting}"
"59259-2","LP173011-0","Document.SubjectMatterDomain","1","Psychiatry"
"59283-2","LP173418-7","Document.Kind","1","Note"
"59283-2","LP173229-8","Document.TypeOfService","1","Well child visit"
"59283-2","LP173061-5","Document.Setting","1","{Setting}"
"59283-2","LP187187-2","Document.Role","1","{Role}"
"59284-0","LP173394-0","Document.Kind","1","Consent"
"59284-0","LP173061-5","Document.Setting","1","{Setting}"
"59284-0","LP173083-9","Document.Role","1","Patient"
"60280-5","LP173118-3","Document.Kind","1","Discharge instructions"
"60280-5","LP173043-3","Document.Setting","1","Emergency department"
"60280-5","LP187187-2","Document.Role","1","{Role}"
"61143-4","LP173418-7","Document.Kind","1","Note"
"61143-4","LP173103-5","Document.TypeOfService","1","Summary"
"61143-4","LP173061-5","Document.Setting","1","{Setting}"
"61143-4","LP173075-5","Document.Role","1","Nurse"
"61358-8","LP173402-1","Document.Kind","1","Surgical operation consent"
"61358-8","LP173061-5","Document.Setting","1","{Setting}"
"61358-8","LP173083-9","Document.Role","1","Patient"
"61359-6","LP173396-5","Document.Kind","1","Anesthesia consent"
"61359-6","LP173061-5","Document.Setting","1","{Setting}"
"61359-6","LP173083-9","Document.Role","1","Patient"
"64053-2","LP173418-7","Document.Kind","1","Note"
"64053-2","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64053-2","LP173065-6","Document.Setting","1","Hospital"
"64053-2","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"64054-0","LP173418-7","Document.Kind","1","Note"
"64054-0","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64054-0","LP173065-6","Document.Setting","1","Hospital"
"64054-0","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"64054-0","LP173092-0","Document.Role","1","Medical student"
"64055-7","LP173418-7","Document.Kind","1","Note"
"64055-7","LP173213-2","Document.TypeOfService","1","Progress"
"64055-7","LP173065-6","Document.Setting","1","Hospital"
"64055-7","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"64055-7","LP173092-0","Document.Role","1","Medical student"
"64056-5","LP173418-7","Document.Kind","1","Note"
"64056-5","LP173110-0","Document.TypeOfService","1","Consultation"
"64056-5","LP173065-6","Document.Setting","1","Hospital"
"64056-5","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"64056-5","LP173092-0","Document.Role","1","Medical student"
"64057-3","LP173418-7","Document.Kind","1","Note"
"64057-3","LP173213-2","Document.TypeOfService","1","Progress"
"64057-3","LP173065-6","Document.Setting","1","Hospital"
"64057-3","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"64058-1","LP173418-7","Document.Kind","1","Note"
"64058-1","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64058-1","LP173065-6","Document.Setting","1","Hospital"
"64058-1","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64059-9","LP173418-7","Document.Kind","1","Note"
"64059-9","LP173213-2","Document.TypeOfService","1","Progress"
"64059-9","LP173065-6","Document.Setting","1","Hospital"
"64059-9","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64060-7","LP173418-7","Document.Kind","1","Note"
"64060-7","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64060-7","LP173065-6","Document.Setting","1","Hospital"
"64060-7","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64061-5","LP173418-7","Document.Kind","1","Note"
"64061-5","LP173213-2","Document.TypeOfService","1","Progress"
"64061-5","LP173065-6","Document.Setting","1","Hospital"
"64061-5","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64062-3","LP173418-7","Document.Kind","1","Note"
"64062-3","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64062-3","LP173065-6","Document.Setting","1","Hospital"
"64062-3","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64063-1","LP173418-7","Document.Kind","1","Note"
"64063-1","LP173213-2","Document.TypeOfService","1","Progress"
"64063-1","LP173065-6","Document.Setting","1","Hospital"
"64063-1","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64065-6","LP173418-7","Document.Kind","1","Note"
"64065-6","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"64065-6","LP173065-6","Document.Setting","1","Hospital"
"64065-6","LP173067-2","Document.Role","1","Case manager"
"64066-4","LP173418-7","Document.Kind","1","Note"
"64066-4","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64066-4","LP173065-6","Document.Setting","1","Hospital"
"64066-4","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"64066-4","LP173092-0","Document.Role","1","Medical student"
"64067-2","LP173418-7","Document.Kind","1","Note"
"64067-2","LP173213-2","Document.TypeOfService","1","Progress"
"64067-2","LP173065-6","Document.Setting","1","Hospital"
"64067-2","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"64067-2","LP173092-0","Document.Role","1","Medical student"
"64068-0","LP173418-7","Document.Kind","1","Note"
"64068-0","LP173110-0","Document.TypeOfService","1","Consultation"
"64068-0","LP173065-6","Document.Setting","1","Hospital"
"64068-0","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"64068-0","LP173092-0","Document.Role","1","Medical student"
"64069-8","LP173418-7","Document.Kind","1","Note"
"64069-8","LP173065-6","Document.Setting","1","Hospital"
"64069-8","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64069-8","LP173085-4","Document.Role","1","Physician attending"
"64070-6","LP173418-7","Document.Kind","1","Note"
"64070-6","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64070-6","LP173065-6","Document.Setting","1","Hospital"
"64070-6","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64070-6","LP173092-0","Document.Role","1","Medical student"
"64071-4","LP173418-7","Document.Kind","1","Note"
"64071-4","LP173213-2","Document.TypeOfService","1","Progress"
"64071-4","LP173065-6","Document.Setting","1","Hospital"
"64071-4","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64071-4","LP173092-0","Document.Role","1","Medical student"
"64072-2","LP173418-7","Document.Kind","1","Note"
"64072-2","LP173110-0","Document.TypeOfService","1","Consultation"
"64072-2","LP173065-6","Document.Setting","1","Hospital"
"64072-2","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"64072-2","LP173092-0","Document.Role","1","Medical student"
"64073-0","LP173418-7","Document.Kind","1","Note"
"64073-0","LP173065-6","Document.Setting","1","Hospital"
"64073-0","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64073-0","LP173085-4","Document.Role","1","Physician attending"
"64074-8","LP173418-7","Document.Kind","1","Note"
"64074-8","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64074-8","LP173065-6","Document.Setting","1","Hospital"
"64074-8","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64074-8","LP173092-0","Document.Role","1","Medical student"
"64075-5","LP173418-7","Document.Kind","1","Note"
"64075-5","LP173213-2","Document.TypeOfService","1","Progress"
"64075-5","LP173065-6","Document.Setting","1","Hospital"
"64075-5","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64075-5","LP173092-0","Document.Role","1","Medical student"
"64076-3","LP173418-7","Document.Kind","1","Note"
"64076-3","LP173110-0","Document.TypeOfService","1","Consultation"
"64076-3","LP173065-6","Document.Setting","1","Hospital"
"64076-3","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"64076-3","LP173092-0","Document.Role","1","Medical student"
"64077-1","LP173418-7","Document.Kind","1","Note"
"64077-1","LP173065-6","Document.Setting","1","Hospital"
"64077-1","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64077-1","LP173085-4","Document.Role","1","Physician attending"
"64078-9","LP173418-7","Document.Kind","1","Note"
"64078-9","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"64078-9","LP173065-6","Document.Setting","1","Hospital"
"64078-9","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64078-9","LP173092-0","Document.Role","1","Medical student"
"64079-7","LP173418-7","Document.Kind","1","Note"
"64079-7","LP173213-2","Document.TypeOfService","1","Progress"
"64079-7","LP173065-6","Document.Setting","1","Hospital"
"64079-7","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64079-7","LP173092-0","Document.Role","1","Medical student"
"64080-5","LP173418-7","Document.Kind","1","Note"
"64080-5","LP173110-0","Document.TypeOfService","1","Consultation"
"64080-5","LP173065-6","Document.Setting","1","Hospital"
"64080-5","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"64080-5","LP173092-0","Document.Role","1","Medical student"
"64142-3","LP173418-7","Document.Kind","1","Note"
"64142-3","LP173197-7","Document.TypeOfService","1","Evaluation and management of smoking cessation"
"64142-3","LP173065-6","Document.Setting","1","Hospital"
"64142-3","LP187187-2","Document.Role","1","{Role}"
"64284-3","LP173418-7","Document.Kind","1","Note"
"64284-3","LP173126-6","Document.TypeOfService","1","Readiness for military duty assessment"
"64284-3","LP173061-5","Document.Setting","1","{Setting}"
"64284-3","LP187187-2","Document.Role","1","{Role}"
"64288-4","LP181190-2","Document.Kind","1","Prescription for eyewear"
"64288-4","LP173061-5","Document.Setting","1","{Setting}"
"64288-4","LP187187-2","Document.Role","1","{Role}"
"64290-0","LP173404-7","Document.Kind","1","Health insurance card"
"64290-0","LP173061-5","Document.Setting","1","{Setting}"
"64290-0","LP173083-9","Document.Role","1","Patient"
"64291-8","LP173405-4","Document.Kind","1","Health insurance-related form"
"64291-8","LP173061-5","Document.Setting","1","{Setting}"
"64291-8","LP173083-9","Document.Role","1","Patient"
"64292-6","LP173400-5","Document.Kind","1","Release of information consent"
"64292-6","LP173061-5","Document.Setting","1","{Setting}"
"64292-6","LP173083-9","Document.Role","1","Patient"
"64293-4","LP173399-9","Document.Kind","1","Procedure consent"
"64293-4","LP173061-5","Document.Setting","1","{Setting}"
"64293-4","LP173083-9","Document.Role","1","Patient"
"64294-2","LP173417-9","Document.Kind","1","Letter"
"64294-2","LP173126-6","Document.TypeOfService","1","Readiness for military duty assessment"
"64294-2","LP173061-5","Document.Setting","1","{Setting}"
"64294-2","LP187187-2","Document.Role","1","{Role}"
"64295-9","LP173418-7","Document.Kind","1","Note"
"64295-9","LP173209-0","Document.TypeOfService","1","Plan of care"
"64295-9","LP173061-5","Document.Setting","1","{Setting}"
"64295-9","LP173075-5","Document.Role","1","Nurse"
"64297-5","LP173392-4","Document.Kind","1","Death certificate"
"64297-5","LP173061-5","Document.Setting","1","{Setting}"
"64297-5","LP187187-2","Document.Role","1","{Role}"
"64298-3","LP173408-8","Document.Kind","1","Power of attorney"
"64298-3","LP173061-5","Document.Setting","1","{Setting}"
"64299-1","LP173407-0","Document.Kind","1","Legal document"
"64299-1","LP173061-5","Document.Setting","1","{Setting}"
"64300-7","LP173398-1","Document.Kind","1","Organ donation consent"
"64300-7","LP173061-5","Document.Setting","1","{Setting}"
"64300-7","LP173083-9","Document.Role","1","Patient"
"67851-6","LP173418-7","Document.Kind","1","Note"
"67851-6","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"67851-6","LP173061-5","Document.Setting","1","{Setting}"
"67851-6","LP187187-2","Document.Role","1","{Role}"
"67852-4","LP173418-7","Document.Kind","1","Note"
"67852-4","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"67852-4","LP173065-6","Document.Setting","1","Hospital"
"67852-4","LP187187-2","Document.Role","1","{Role}"
"67854-0","LP173418-7","Document.Kind","1","Note"
"67854-0","LP173117-5","Document.TypeOfService","1","Education"
"67854-0","LP173061-5","Document.Setting","1","{Setting}"
"67854-0","LP172947-6","Document.SubjectMatterDomain","1","Geriatric medicine"
"67855-7","LP173418-7","Document.Kind","1","Note"
"67855-7","LP173117-5","Document.TypeOfService","1","Education"
"67855-7","LP173051-6","Document.Setting","1","Outpatient"
"67855-7","LP187187-2","Document.Role","1","{Role}"
"67856-5","LP173418-7","Document.Kind","1","Note"
"67856-5","LP173198-5","Document.TypeOfService","1","History and physical"
"67856-5","LP173048-2","Document.Setting","1","Nursing facility"
"67856-5","LP187187-2","Document.Role","1","{Role}"
"67860-7","LP173418-7","Document.Kind","1","Note"
"67860-7","LP173215-7","Document.TypeOfService","1","Postoperative evaluation and management"
"67860-7","LP173061-5","Document.Setting","1","{Setting}"
"67860-7","LP187187-2","Document.Role","1","{Role}"
"67861-5","LP173418-7","Document.Kind","1","Note"
"67861-5","LP173215-7","Document.TypeOfService","1","Postoperative evaluation and management"
"67861-5","LP173061-5","Document.Setting","1","{Setting}"
"67861-5","LP172974-0","Document.SubjectMatterDomain","1","Ophthalmology"
"67862-3","LP173418-7","Document.Kind","1","Note"
"67862-3","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"67862-3","LP173061-5","Document.Setting","1","{Setting}"
"67862-3","LP187187-2","Document.Role","1","{Role}"
"67865-6","LP173418-7","Document.Kind","1","Note"
"67865-6","LP173104-3","Document.TypeOfService","1","Supervisory"
"67865-6","LP173051-6","Document.Setting","1","Outpatient"
"67865-6","LP187187-2","Document.Role","1","{Role}"
"68469-6","LP173418-7","Document.Kind","1","Note"
"68469-6","LP173110-0","Document.TypeOfService","1","Consultation"
"68469-6","LP173065-6","Document.Setting","1","Hospital"
"68469-6","LP172983-1","Document.SubjectMatterDomain","1","Pastoral care"
"68470-4","LP173418-7","Document.Kind","1","Note"
"68470-4","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"68470-4","LP173065-6","Document.Setting","1","Hospital"
"68470-4","LP173022-7","Document.SubjectMatterDomain","1","Respiratory therapy"
"68471-2","LP173418-7","Document.Kind","1","Note"
"68471-2","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"68471-2","LP173065-6","Document.Setting","1","Hospital"
"68471-2","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68472-0","LP173418-7","Document.Kind","1","Note"
"68472-0","LP173213-2","Document.TypeOfService","1","Progress"
"68472-0","LP173065-6","Document.Setting","1","Hospital"
"68472-0","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68473-8","LP173418-7","Document.Kind","1","Note"
"68473-8","LP173213-2","Document.TypeOfService","1","Progress"
"68473-8","LP173065-6","Document.Setting","1","Hospital"
"68473-8","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"68473-8","LP173085-4","Document.Role","1","Physician attending"
"68474-6","LP173418-7","Document.Kind","1","Note"
"68474-6","LP173211-6","Document.TypeOfService","1","Restraint"
"68474-6","LP173065-6","Document.Setting","1","Hospital"
"68474-6","LP173084-7","Document.Role","1","Physician"
"68475-3","LP173418-7","Document.Kind","1","Note"
"68475-3","LP173213-2","Document.TypeOfService","1","Progress"
"68475-3","LP173065-6","Document.Setting","1","Hospital"
"68475-3","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"68475-3","LP173085-4","Document.Role","1","Physician attending"
"68476-1","LP173418-7","Document.Kind","1","Note"
"68476-1","LP173211-6","Document.TypeOfService","1","Restraint"
"68476-1","LP173065-6","Document.Setting","1","Hospital"
"68476-1","LP173075-5","Document.Role","1","Nurse"
"68477-9","LP173418-7","Document.Kind","1","Note"
"68477-9","LP173117-5","Document.TypeOfService","1","Education"
"68477-9","LP173065-6","Document.Setting","1","Hospital"
"68477-9","LP173075-5","Document.Role","1","Nurse"
"68478-7","LP173418-7","Document.Kind","1","Note"
"68478-7","LP173213-2","Document.TypeOfService","1","Progress"
"68478-7","LP173065-6","Document.Setting","1","Hospital"
"68478-7","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"68478-7","LP173085-4","Document.Role","1","Physician attending"
"68479-5","LP173418-7","Document.Kind","1","Note"
"68479-5","LP173213-2","Document.TypeOfService","1","Progress"
"68479-5","LP173065-6","Document.Setting","1","Hospital"
"68479-5","LP173022-7","Document.SubjectMatterDomain","1","Respiratory therapy"
"68480-3","LP173418-7","Document.Kind","1","Note"
"68480-3","LP173213-2","Document.TypeOfService","1","Progress"
"68480-3","LP173065-6","Document.Setting","1","Hospital"
"68480-3","LP173028-4","Document.SubjectMatterDomain","1","Surgery"
"68480-3","LP173085-4","Document.Role","1","Physician attending"
"68481-1","LP173418-7","Document.Kind","1","Note"
"68481-1","LP173213-2","Document.TypeOfService","1","Progress"
"68481-1","LP173065-6","Document.Setting","1","Hospital"
"68481-1","LP173031-8","Document.SubjectMatterDomain","1","Thoracic and cardiac surgery"
"68481-1","LP173085-4","Document.Role","1","Physician attending"
"68482-9","LP173418-7","Document.Kind","1","Note"
"68482-9","LP173226-4","Document.TypeOfService","1","Transfer summary"
"68482-9","LP173065-6","Document.Setting","1","Hospital"
"68482-9","LP173075-5","Document.Role","1","Nurse"
"68483-7","LP173418-7","Document.Kind","1","Note"
"68483-7","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"68483-7","LP173065-6","Document.Setting","1","Hospital"
"68483-7","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68483-7","LP173092-0","Document.Role","1","Medical student"
"68484-5","LP173418-7","Document.Kind","1","Note"
"68484-5","LP173213-2","Document.TypeOfService","1","Progress"
"68484-5","LP173065-6","Document.Setting","1","Hospital"
"68484-5","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68484-5","LP173085-4","Document.Role","1","Physician attending"
"68485-2","LP173418-7","Document.Kind","1","Note"
"68485-2","LP173213-2","Document.TypeOfService","1","Progress"
"68485-2","LP173065-6","Document.Setting","1","Hospital"
"68485-2","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68485-2","LP173092-0","Document.Role","1","Medical student"
"68486-0","LP173418-7","Document.Kind","1","Note"
"68486-0","LP173110-0","Document.TypeOfService","1","Consultation"
"68486-0","LP173065-6","Document.Setting","1","Hospital"
"68486-0","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"68486-0","LP173092-0","Document.Role","1","Medical student"
"68550-3","LP173418-7","Document.Kind","1","Note"
"68550-3","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"68550-3","LP173061-5","Document.Setting","1","{Setting}"
"68550-3","LP172935-1","Document.SubjectMatterDomain","1","Dermatology"
"68551-1","LP173418-7","Document.Kind","1","Note"
"68551-1","LP173110-0","Document.TypeOfService","1","Consultation"
"68551-1","LP173065-6","Document.Setting","1","Hospital"
"68551-1","LP172935-1","Document.SubjectMatterDomain","1","Dermatology"
"68552-9","LP173418-7","Document.Kind","1","Note"
"68552-9","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"68552-9","LP173043-3","Document.Setting","1","Emergency department"
"68552-9","LP172940-1","Document.SubjectMatterDomain","1","Emergency medicine"
"68553-7","LP173418-7","Document.Kind","1","Note"
"68553-7","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"68553-7","LP173061-5","Document.Setting","1","{Setting}"
"68553-7","LP175685-9","Document.SubjectMatterDomain","1","Hematology"
"68553-7","LP175686-7","Document.SubjectMatterDomain","2","Medical Oncology"
"68554-5","LP173418-7","Document.Kind","1","Note"
"68554-5","LP173213-2","Document.TypeOfService","1","Progress"
"68554-5","LP173061-5","Document.Setting","1","{Setting}"
"68554-5","LP175685-9","Document.SubjectMatterDomain","1","Hematology"
"68554-5","LP175686-7","Document.SubjectMatterDomain","2","Medical Oncology"
"68555-2","LP173417-9","Document.Kind","1","Letter"
"68555-2","LP173065-6","Document.Setting","1","Hospital"
"68555-2","LP175685-9","Document.SubjectMatterDomain","1","Hematology"
"68555-2","LP175686-7","Document.SubjectMatterDomain","2","Medical Oncology"
"68556-0","LP173418-7","Document.Kind","1","Note"
"68556-0","LP173115-9","Document.TypeOfService","1","Diagnostic study"
"68556-0","LP173061-5","Document.Setting","1","{Setting}"
"68556-0","LP172964-1","Document.SubjectMatterDomain","1","Neurology"
"68557-8","LP173418-7","Document.Kind","1","Note"
"68557-8","LP173115-9","Document.TypeOfService","1","Diagnostic study"
"68557-8","LP173061-5","Document.Setting","1","{Setting}"
"68557-8","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68558-6","LP173418-7","Document.Kind","1","Note"
"68558-6","LP173221-5","Document.TypeOfService","1","Discharge summary"
"68558-6","LP173061-5","Document.Setting","1","{Setting}"
"68558-6","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68560-2","LP173418-7","Document.Kind","1","Note"
"68560-2","LP173198-5","Document.TypeOfService","1","History and physical"
"68560-2","LP173061-5","Document.Setting","1","{Setting}"
"68560-2","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68562-8","LP173418-7","Document.Kind","1","Note"
"68562-8","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"68562-8","LP173061-5","Document.Setting","1","{Setting}"
"68562-8","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68563-6","LP173418-7","Document.Kind","1","Note"
"68563-6","LP173234-8","Document.TypeOfService","1","Procedure"
"68563-6","LP173061-5","Document.Setting","1","{Setting}"
"68563-6","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68564-4","LP173418-7","Document.Kind","1","Note"
"68564-4","LP173213-2","Document.TypeOfService","1","Progress"
"68564-4","LP173061-5","Document.Setting","1","{Setting}"
"68564-4","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68565-1","LP173418-7","Document.Kind","1","Note"
"68565-1","LP173226-4","Document.TypeOfService","1","Transfer summary"
"68565-1","LP173061-5","Document.Setting","1","{Setting}"
"68565-1","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68566-9","LP173418-7","Document.Kind","1","Note"
"68566-9","LP173110-0","Document.TypeOfService","1","Consultation"
"68566-9","LP173065-6","Document.Setting","1","Hospital"
"68566-9","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
"68567-7","LP173417-9","Document.Kind","1","Letter"
"68567-7","LP173065-6","Document.Setting","1","Hospital"
"68567-7","LP172971-6","Document.SubjectMatterDomain","1","Obstetrics and gynecology"
