description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
"CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT COMMON DUCT EXPLORATION WITHOUT COMPLICATIONS, COMORBIDITIES",38000496,"Cholecystectomy Except By Laparoscope without Common Duct Exploration without Complications, Comorbidities",38001217,Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC
CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,0,,38001216,Cholecystectomy except by laparoscope w/o c.d.e. w CC
CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,0,,38001215,Cholecystectomy except by laparoscope w/o c.d.e. w MCC
CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,0,,38001217,Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC
Cholecystectomy Except Laparoscopic,0,,38001217,Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC
CHOLECYSTECTOMY W C.D.E. W MCC,0,,38001212,Cholecystectomy w c.d.e. w MCC
"CHOLECYSTECTOMY WITH COMMON DUCT EXPLORATION WITH COMPLICATIONS, COMORBIDITIES",38000493,"Cholecystectomy with Common Duct Exploration with Complications, Comorbidities",38001212,Cholecystectomy w c.d.e. w MCC
"CHOLECYSTECTOMY WITH COMMON DUCT EXPLORATION WITHOUT COMPLICATIONS, COMORBIDITIES",38000494,"Cholecystectomy with Common Duct Exploration without Complications, Comorbidities",38001214,Cholecystectomy w c.d.e. w/o CC/MCC
Chronic Obstructive Pulmonary Disease,0,,0,
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,38000376,Chronic Obstructive Pulmonary Disease,38001038,Chronic obstructive pulmonary disease w/o CC/MCC
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,0,,38001037,Chronic obstructive pulmonary disease w CC
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,0,,38001036,Chronic obstructive pulmonary disease w MCC
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,0,,38001038,Chronic obstructive pulmonary disease w/o CC/MCC
"CIRCULATORY DISORDERS EXCEPT ACUTE MYOCARDIAL INFARCTION, WITH CARDIAC CATHETER & COMPLEX DIAGNOSES",38000422,"Circulatory Disorders Except Acute Myocardial Infarction, with Cardiac Catheter and Complex Diagnoses",38001114,"Circulatory disorders except AMI, w card cath w MCC"
"CIRCULATORY DISORDERS EXCEPT ACUTE MYOCARDIAL INFARCTION, WITH CARDIAC CATHETER WITHOUT COMPLEX DIAGNOSES",38000423,"Circulatory Disorders Except Acute Myocardial Infarction, with Cardiac Catheter without Complex Diagnoses",38001115,"Circulatory disorders except AMI, w card cath w/o MCC"
"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",0,,38001114,"Circulatory disorders except AMI, w card cath w MCC"
"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",0,,38001115,"Circulatory disorders except AMI, w card cath w/o MCC"
"CIRCULATORY DISORDERS WITH ACUTE MYOCARDIAL INFARCTION, EXPIRED",38000421,"Circulatory Disorders with Acute Myocardial Infarction, Expired",38001113,"Acute myocardial infarction, expired w/o CC/MCC"
"CIRCULATORY DISORDERS WITH ACUTE MYOCARDIAL INFARCTION & MAJOR COMPLICATION, DISCHARGED ALIVE",38000418,"Circulatory Disorders with Acute Myocardial Infarction and Major Complication, Discharged Alive",38001108,"Acute myocardial infarction, discharged alive w MCC"
"CIRCULATORY DISORDERS WITH ACUTE MYOCARDIAL INFARCTION WITHOUT MAJOR COMPLICATION, DISCHARGED ALIVE",38000420,"Circulatory Disorders with Acute Myocardial Infarction without Major Complication, Discharged Alive",38001110,"Acute myocardial infarction, discharged alive w/o CC/MCC"
CIRCUMCISION AGE 0-17,38000641,Circumcision Age 0-17,,
CIRRHOSIS & ALCOHOLIC HEPATITIS,38000500,Cirrhosis and Alcoholic Hepatitis,38001229,Cirrhosis & alcoholic hepatitis w/o CC/MCC
CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,0,,38001228,Cirrhosis & alcoholic hepatitis w CC
CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,0,,38001227,Cirrhosis & alcoholic hepatitis w MCC
Cleft Lip & Palate Repair,0,,0,
COAGULATION DISORDERS,38000695,Coagulation Disorders,38001518,Coagulation disorders
Coagulation & Platelet Disorders,38000695,Coagulation Disorders,38001518,Coagulation disorders
Cocaine Abuse & Dependence,0,,0,
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,0,,38001243,Combined anterior/posterior spinal fusion w CC
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,0,,38001242,Combined anterior/posterior spinal fusion w MCC
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,0,,38001244,Combined anterior/posterior spinal fusion w/o CC/MCC
COMPLICATED PEPTIC ULCER,38000474,Complicated Peptic Ulcer,38001192,Complicated peptic ulcer w/o CC/MCC
COMPLICATED PEPTIC ULCER W CC,0,,38001191,Complicated peptic ulcer w CC
COMPLICATED PEPTIC ULCER W MCC,0,,38001190,Complicated peptic ulcer w MCC
COMPLICATED PEPTIC ULCER W/O CC/MCC,0,,38001192,Complicated peptic ulcer w/o CC/MCC
COMPLICATIONS OF TREATMENT W CC,0,,38001595,Complications of treatment w CC
"COMPLICATIONS OF TREATMENT WITH COMPLICATIONS, COMORBIDITIES",38000750,"Complications of Treatment with Complications, Comorbidities",,
"COMPLICATIONS OF TREATMENT WITHOUT COMPLICATIONS, COMORBIDITIES",38000751,"Complications of Treatment without Complications, Comorbidities",,
COMPLICATIONS OF TREATMENT W MCC,0,,38001594,Complications of treatment w MCC
COMPLICATIONS OF TREATMENT W/O CC/MCC,0,,38001596,Complications of treatment w/o CC/MCC
CONCUSSION AGE 0-17,38000321,Concussion Age 0-17,38000963,Concussion w/o CC/MCC
"CONCUSSION AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000319,"Concussion Age >17 with Complications, Comorbidities",38000961,Concussion w MCC
"CONCUSSION AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000320,"Concussion Age >17 without Complications, Comorbidities",38000962,Concussion w CC
"Concussion, Closed Skull FX Nos, Uncomplicated Intracranial Injury, Coma <1 Hr or No Com",0,,38000963,Concussion w/o CC/MCC
CONCUSSION W CC,0,,38000962,Concussion w CC
CONCUSSION W MCC,0,,38000961,Concussion w MCC
CONCUSSION W/O CC/MCC,0,,38000963,Concussion w/o CC/MCC
Connective Tissue Disorders,0,,0,
CONNECTIVE TISSUE DISORDERS W CC,0,,38001320,Connective tissue disorders w CC
"CONNECTIVE TISSUE DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000538,"Connective Tissue Disorders with Complications, Comorbidities",,
"CONNECTIVE TISSUE DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000539,"Connective Tissue Disorders without Complications, Comorbidities",,
CONNECTIVE TISSUE DISORDERS W MCC,0,,38001319,Connective tissue disorders w MCC
CONNECTIVE TISSUE DISORDERS W/O CC/MCC,0,,38001321,Connective tissue disorders w/o CC/MCC
"Contusion, Open Wound & Other Trauma To Skin & Subcutaneous Tissue",0,,0,
Coronary Bypass w/ Cardiac Cath Or Percutaneous Cardiac Procedure,38000400,Coronary Bypass with Cardiac Catheter,,
CORONARY BYPASS W CARDIAC CATH W MCC,0,,38001073,Coronary bypass w cardiac cath w MCC
CORONARY BYPASS W CARDIAC CATH W/O MCC,0,,38001074,Coronary bypass w cardiac cath w/o MCC
CORONARY BYPASS WITH CARDIAC CATHETER,38000400,Coronary Bypass with Cardiac Catheter,,
CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCV DIAGNOSIS,38000854,Coronary Bypass with Cardiac Catheterization with Mcv Diagnosis,38001073,Coronary bypass w cardiac cath w MCC
CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCV DIAGNOSIS,38000855,Coronary Bypass with Cardiac Catheterization without Mcv Diagnosis,38001074,Coronary bypass w cardiac cath w/o MCC
CORONARY BYPASS WITHOUT CARDIAC CATHETER,38000402,Coronary Bypass without Cardiac Catheter,,
CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCV DIAGNOSIS,38000856,Coronary Bypass without Cardiac Catheterization with Mcv Diagnosis,38001075,Coronary bypass w/o cardiac cath w MCC
CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCV DIAGNOSIS,38000857,Coronary Bypass without Cardiac Catheterization without Mcv Diagnosis,38001076,Coronary bypass w/o cardiac cath w/o MCC
CORONARY BYPASS WITH PTCA,38000398,Coronary Bypass with Ptca,38001072,Coronary bypass w PTCA w/o MCC
Coronary Bypass w/o Cardiac Cath Or Percutaneous Cardiac Procedure,0,,0,
CORONARY BYPASS W/O CARDIAC CATH W MCC,0,,38001075,Coronary bypass w/o cardiac cath w MCC
CORONARY BYPASS W/O CARDIAC CATH W/O MCC,0,,38001076,Coronary bypass w/o cardiac cath w/o MCC
CORONARY BYPASS W PTCA W MCC,0,,38001071,Coronary bypass w PTCA w MCC
CORONARY BYPASS W PTCA W/O MCC,0,,38001072,Coronary bypass w PTCA w/o MCC
CRANIAL/FACIAL PROCEDURES W CC/MCC,0,,38000989,Cranial/facial procedures w CC/MCC
CRANIAL/FACIAL PROCEDURES W/O CC/MCC,0,,38000990,Cranial/facial procedures w/o CC/MCC
"CRANIAL & PERIPHERAL NERVE DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000306,"Cranial and Peripheral Nerve Disorders with Complications, Comorbidities",38000946,Cranial & peripheral nerve disorders w MCC
"CRANIAL & PERIPHERAL NERVE DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000307,"Cranial and Peripheral Nerve Disorders without Complications, Comorbidities",38000947,Cranial & peripheral nerve disorders w/o MCC
CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,0,,38000946,Cranial & peripheral nerve disorders w MCC
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,0,,38000947,Cranial & peripheral nerve disorders w/o MCC
CRANIOTOMY AGE 0-17,38000287,Craniotomy Age 0-17,,
CRANIOTOMY AGE >17 EXCEPT FOR TRAUMA,38000283,Craniotomy Age >17 Except For Trauma,38000907,Craniotomy & endovascular intracranial procedures w MCC
"CRANIOTOMY AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000284,"Craniotomy Age >17 with Complications, Comorbidities",38000907,Craniotomy & endovascular intracranial procedures w MCC
"CRANIOTOMY AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000286,"Craniotomy Age >17 without Complications, Comorbidities",38000908,Craniotomy & endovascular intracranial procedures w CC
CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,0,,38000908,Craniotomy & endovascular intracranial procedures w CC
CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,0,,38000907,Craniotomy & endovascular intracranial procedures w MCC
CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,0,,38000909,Craniotomy & endovascular intracranial procedures w/o CC/MCC
Craniotomy Except for Trauma,0,,0,
Craniotomy For Multiple Significant Trauma,38000784,Craniotomy For Multiple Significant Trauma,38001615,Craniotomy for multiple significant trauma
CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,38000784,Craniotomy For Multiple Significant Trauma,38001615,Craniotomy for multiple significant trauma
Craniotomy for Trauma,38000286,"Craniotomy Age >17 without Complications, Comorbidities",38000908,Craniotomy & endovascular intracranial procedures w CC
CRANIOTOMY FOR TRAUMA AGE >17,38000286,"Craniotomy Age >17 without Complications, Comorbidities",38000908,Craniotomy & endovascular intracranial procedures w CC
CRANIOTOMY WITH IMPLANT OF CHEMO AGENT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS,38000849,Craniotomy with Implant of Chemo Agent or Acute Complex Cns Principal Diagnosis,38000905,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant
CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS,38000849,Craniotomy with Implant of Chemo Agent or Acute Complex Cns Principal Diagnosis,38000906,Cranio w major dev impl/acute complex CNS PDX w/o MCC
CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,0,,38000905,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant
CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,0,,38000906,Cranio w major dev impl/acute complex CNS PDX w/o MCC
CVA & Precerebral Occulusion w/ Infarct,0,,0,
"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC",0,,38001470,"D&C, conization, laparoscopy & tubal interruption w CC/MCC"
"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC",0,,38001471,"D&C, conization, laparoscopy & tubal interruption w/o CC/MCC"
DEEP VEIN THROMBOPHLEBITIS W CC/MCC,0,,38001122,Deep vein thrombophlebitis w CC/MCC
Degenerative Nervous System Disorders Exc Mult Sclerosis,0,,0,
DEGENERATIVE NERVOUS SYSTEM DISORDERS,38000296,Degenerative Nervous System Disorders,38000930,Degenerative nervous system disorders w/o MCC
DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,0,,38000929,Degenerative nervous system disorders w MCC
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,0,,38000930,Degenerative nervous system disorders w/o MCC
DENTAL EXTRACTIONS & RESTORATIONS,38000485,Dental Extractions and Restorations,38001014,Dental & oral diseases w/o CC/MCC
Dental & Oral Diseases & Injuries,0,,0,
DENTAL & ORAL DISEASES W CC,0,,38001013,Dental & oral diseases w CC
DENTAL & ORAL DISEASES W MCC,0,,38001012,Dental & oral diseases w MCC
DENTAL & ORAL DISEASES W/O CC/MCC,0,,38001014,Dental & oral diseases w/o CC/MCC
DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS AGE >17,38000483,Dental and Oral Dis Except Extractions and Restorations Age >17,38001012,Dental & oral diseases w MCC
Diabetes,0,,45879799,Diabetes
DIABETES AGE 0-35,38000593,Diabetes Age 0-35,,
DIABETES AGE >35,38000592,Diabetes Age >35,,
DIABETES W CC,0,,38001388,Diabetes w CC
DIABETES W MCC,0,,38001387,Diabetes w MCC
DIABETES W/O CC/MCC,0,,38001389,Diabetes w/o CC/MCC
Digestive Malignancy,0,,0,
DIGESTIVE MALIGNANCY W CC,0,,38001185,Digestive malignancy w CC
"DIGESTIVE MALIGNANCY WITH COMPLICATIONS, COMORBIDITIES",38000470,"Digestive Malignancy with Complications, Comorbidities",38001184,Digestive malignancy w MCC
DIGESTIVE MALIGNANCY W MCC,0,,38001184,Digestive malignancy w MCC
DIGESTIVE MALIGNANCY W/O CC/MCC,0,,38001186,Digestive malignancy w/o CC/MCC
"DILATION & CURETTAGE, CONIZATION EXCEPT FOR MALIGNANCY",38000662,"Dilation and Curettage, Conization Except For Malignancy",,
"DILATION & CURETTAGE, CONIZATION & RADIO-IMPLANT, FOR MALIGNANCY",38000661,"Dilation and Curettage, Conization and Radio-Implant, For Malignancy",,
Dilation & Curettage For Non-Obstetric Procedures,0,,0,
DISEQUILIBRIUM,38000353,Disequilibrium,38001001,Dysequilibrium
"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",0,,38001237,"Disorders of liver except malig,cirr,alc hepa w CC"
"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",0,,38001236,"Disorders of liver except malig,cirr,alc hepa w MCC"
"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",0,,38001238,"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS, ALCOHOLIC HEPATITIS WITH COMPLICATIONS, COMORBIDITIES",38000503,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic Hepatitis with Complications, Comorbidities",38001236,"Disorders of liver except malig,cirr,alc hepa w MCC"
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS, ALCOHOLIC HEPATITIS WITHOUT COMPLICATIONS, COMORBIDITIES",38000504,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic Hepatitis without Complications, Comorbidities",38001238,"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"
Disorders of Pancreas Except Malignancy,0,,0,
DISORDERS OF PANCREAS EXCEPT MALIGNANCY,38000502,Disorders of Pancreas Except Malignancy,38001235,Disorders of pancreas except malignancy w/o CC/MCC
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,0,,38001234,Disorders of pancreas except malignancy w CC
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,0,,38001233,Disorders of pancreas except malignancy w MCC
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,0,,38001235,Disorders of pancreas except malignancy w/o CC/MCC
Disorders of Personality & Impulse Control,0,,38001570,Disorders of personality & impulse control
DISORDERS OF PERSONALITY & IMPULSE CONTROL,0,,38001570,Disorders of personality & impulse control
DISORDERS OF THE BILIARY TRACT W CC,0,,38001240,Disorders of the biliary tract w CC
"DISORDERS OF THE BILIARY TRACT WITH COMPLICATIONS, COMORBIDITIES",38000505,"Disorders of The Biliary Tract with Complications, Comorbidities",38001239,Disorders of the biliary tract w MCC
"DISORDERS OF THE BILIARY TRACT WITHOUT COMPLICATIONS, COMORBIDITIES",38000506,"Disorders of The Biliary Tract without Complications, Comorbidities",38001241,Disorders of the biliary tract w/o CC/MCC
DISORDERS OF THE BILIARY TRACT W MCC,0,,38001239,Disorders of the biliary tract w MCC
DISORDERS OF THE BILIARY TRACT W/O CC/MCC,0,,38001241,Disorders of the biliary tract w/o CC/MCC
Disorders of the Gallbladder & Biliary Tract,0,,0,
Diverticulitis & Diverticulosis,0,,0,
Dorsal & Lumbar Fusion Proc Except for Curvature of Back,0,,0,
Dorsal & Lumbar Fusion Proc for Curvature of Back,0,,0,
"Drug & Alcohol Abuse or Dependence, Left Against Medical Advice",0,,0,
DYSEQUILIBRIUM,38000353,Disequilibrium,38001001,Dysequilibrium
"Ear, Nose, Mouth Throat, Cranial/Facial Malignancies",0,,0,
"EAR, NOSE, MOUTH & THROAT MALIGNANCY",38000352,"Ear, Nose, Mouth and Throat Malignancy",38001000,"Ear, nose, mouth & throat malignancy w/o CC/MCC"
"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",0,,38000999,"Ear, nose, mouth & throat malignancy w CC"
"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",0,,38000998,"Ear, nose, mouth & throat malignancy w MCC"
"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",0,,38001000,"Ear, nose, mouth & throat malignancy w/o CC/MCC"
Eating Disorders,0,,0,
"ECMO OR TRACHEOSTOMY WITH MECHANICAL VENTILATION 96+ HOURS OR PRINCIPAL DIAGNOSES EXCEPT FACE, MOUTH AND NECK DIAGNOSES WITH MAJOR OPERATING ROOM PROCEDURE",38000847,"Ecmo or Tracheostomy with Mechanical Ventilation 96+ Hours or Principal Diagnoses Except Face, Mouth and Neck Diagnoses with Major Operating Room Procedure",38000889,"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."
"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",0,,38000889,"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."
ECTOPIC PREGNANCY,38000676,Ectopic Pregnancy,38001494,Ectopic pregnancy
Ectopic Pregnancy Procedure,0,,0,
Electrolyte Disorders Except Hypovolemia Related,0,,0,
ENDOCRINE DISORDERS W CC,0,,38001394,Endocrine disorders w CC
"ENDOCRINE DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000598,"Endocrine Disorders with Complications, Comorbidities",,
"ENDOCRINE DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000599,"Endocrine Disorders without Complications, Comorbidities",,
ENDOCRINE DISORDERS W MCC,0,,38001393,Endocrine disorders w MCC
ENDOCRINE DISORDERS W/O CC/MCC,0,,38001395,Endocrine disorders w/o CC/MCC
EPIGLOTTITIS,38000355,Epiglottitis,38001004,Otitis media & URI w MCC
EPISTAXIS,38000354,Epistaxis,38001003,Epistaxis w/o MCC
EPISTAXIS W MCC,0,,38001002,Epistaxis w MCC
EPISTAXIS W/O MCC,0,,38001003,Epistaxis w/o MCC
"ESOPHAGITIS, GASTROENTERITIS, & MISCELLANEOUS DIGESTIVE DISORDERS AGE 0-17",38000482,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age 0-17",38001202,"Esophagitis, gastroent & misc digest disorders w/o MCC"
"ESOPHAGITIS, GASTROENTERITIS, & MISCELLANEOUS DIGESTIVE DISORDERS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000480,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age >17 with Complications, Comorbidities",38001201,"Esophagitis, gastroent & misc digest disorders w MCC"
"ESOPHAGITIS, GASTROENTERITIS, & MISCELLANEOUS DIGESTIVE DISORDERS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000481,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age >17 without Complications, Comorbidities",38001202,"Esophagitis, gastroent & misc digest disorders w/o MCC"
"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",0,,38001201,"Esophagitis, gastroent & misc digest disorders w MCC"
"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",0,,38001202,"Esophagitis, gastroent & misc digest disorders w/o MCC"
EXTENSIVE OPERATING ROOM PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,38000766,Extensive Operating Room Procedure Unrelated To Principal Diagnosis,,
EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,0,,38001630,Extensive O.R. procedure unrelated to principal diagnosis w CC
EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,0,,38001629,Extensive O.R. procedure unrelated to principal diagnosis w MCC
EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,0,,38001631,Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC
Extensive Procedure Unrelated To Principal Diagnosis,0,,0,
EXTRACRANIAL PROCEDURES W CC,0,,38000920,Extracranial procedures w CC
EXTRACRANIAL PROCEDURES W MCC,0,,38000919,Extracranial procedures w MCC
EXTRACRANIAL PROCEDURES W/O CC/MCC,0,,38000921,Extracranial procedures w/o CC/MCC
Extracranial Vascular Procedures,0,,0,
EXTRACRANIAL VASCULAR PROCEDURES,38000289,Extracranial Vascular Procedures,,
EXTRACRANIAL VASCULAR PROCEDURES WITH CC,38000839,Extracranial Vascular Procedures with Cc,38000919,Extracranial procedures w MCC
EXTRACRANIAL VASCULAR PROCEDURES WITHOUT CC,38000840,Extracranial Vascular Procedures without Cc,38000921,Extracranial procedures w/o CC/MCC
EXTRAOCULAR PROCEDURES EXCEPT ORBIT,0,,38000979,Extraocular procedures except orbit
EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE >17,38000328,Extraocular Procedures Except Orbit Age >17,38000979,Extraocular procedures except orbit
"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE",38000684,"Extreme Immaturity or Respiratory Distress Syndrome, Neonate",38001501,"Extreme immaturity or respiratory distress syndrome, neonate"
Eye Disorders Except Major Infections,0,,0,
Eye Procedures Except Orbit,0,,0,
Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,0,,0,
Female Reproductive System Infections,0,,0,
Female Reproductive System Malignancy,0,,0,
Female Reproductive System Reconstructive Procedures,38000654,Female Reproductive System Reconstructive Procedures,38001474,Female reproductive system reconstructive procedures
FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,38000654,Female Reproductive System Reconstructive Procedures,38001474,Female reproductive system reconstructive procedures
Fever,0,,38001557,Fever
FEVER,0,,38001557,Fever
"FEVER OF UNKNOWN ORIGIN AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000717,"Fever of Unknown Origin Age >17 with Complications, Comorbidities",,
FOOT PROCEDURES,38000523,Foot Procedures,,
FOOT PROCEDURES W CC,0,,38001293,Foot procedures w CC
FOOT PROCEDURES W MCC,0,,38001292,Foot procedures w MCC
FOOT PROCEDURES W/O CC/MCC,0,,38001294,Foot procedures w/o CC/MCC
Foot & Toe Procedures,0,,0,
Fracture of Pelvis or Dislocation of Hip,0,,0,
"Fracture or Dislocation Except Femur, Pelvis & Back",0,,0,
Fractures of Femur,0,,0,
FRACTURES OF FEMUR,38000533,Fractures of Femur,,
FRACTURES OF FEMUR W MCC,0,,38001307,Fractures of femur w MCC
FRACTURES OF FEMUR W/O MCC,0,,38001308,Fractures of femur w/o MCC
FRACTURES OF HIP & PELVIS,38000534,Fractures of Hip and Pelvis,,
FRACTURES OF HIP & PELVIS W MCC,0,,38001309,Fractures of hip & pelvis w MCC
FRACTURES OF HIP & PELVIS W/O MCC,0,,38001310,Fractures of hip & pelvis w/o MCC
"FRACTURE, SPRAIN, STRAIN, & DISLOCATION OF FOREARM, HAND, FOOT AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000548,"Fracture, Sprain, Strain, and Dislocation of Forearm, Hand, Foot Age >17 with Complications, Comorbidities",,
"FRACTURE, SPRAIN, STRAIN & DISLOCATION OF UPPER ARM, LOWER LEG EXCEPT FOOT AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000551,"Fracture, Sprain, Strain and Dislocation of Upper Arm, Lower Leg Except Foot Age >17 with Complications, Comorbidities",,
"FRACTURE, SPRAIN, STRAIN & DISLOCATION OF UPPER ARM, LOWER LEG, EXCEPT FOOT AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000552,"Fracture, Sprain, Strain and Dislocation of Upper Arm, Lower Leg, Except Foot Age >17 without Complications, Comorbidities",,
FULL TERM NEONATE WITH MAJOR PROBLEMS,38000687,Full Term Neonate with Major Problems,,
FULL TERM NEONATE W MAJOR PROBLEMS,0,,38001504,Full term neonate w major problems
FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY WITH CC OR SIGNIFICANT TRAUMA,38000813,Full Thickness Burn without Skin Graft or Inhalation Injury with Cc or Significant Trauma,,
"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC",0,,38001336,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC"
"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",0,,38001337,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC"
"GASTROINTESTINAL HEMORRHAGE WITH COMPLICATIONS, COMORBIDITIES",38000472,"Gastrointestinal Hemorrhage with Complications, Comorbidities",38001187,G.I. hemorrhage w MCC
"GASTROINTESTINAL HEMORRHAGE WITHOUT COMPLICATIONS, COMORBIDITIES",38000473,"Gastrointestinal Hemorrhage without Complications, Comorbidities",38001189,G.I. hemorrhage w/o CC/MCC
"GASTROINTESTINAL OBSTRUCTION WITH COMPLICATIONS, COMORBIDITIES",38000478,"Gastrointestinal Obstruction with Complications, Comorbidities",38001198,G.I. obstruction w MCC
Gastrointestinal Vascular Insufficiency,0,,0,
G.I. HEMORRHAGE W CC,0,,38001188,G.I. hemorrhage w CC
