count,category,label
274,Radiology,SINGLE AP FILM:
273,Radiology,CT ABDOMEN WITHOUT AND WITH IV CONTRAST:
269,Radiology,RIGHT SIDE:
268,Radiology,TIME:
262,Radiology,SINGLE AP PORTABLE VIEW:
261,Radiology,VIEW:
261,Radiology,DATE OF EXAM:
261,Radiology,DETAILS OF PROCEDURE:
261,Radiology,MRI BRAIN:
260,Radiology,WITH INTRAVENOUS CONTRAST:
260,Radiology,CT OF THE CHEST WITHOUT AND WITH IV CONTRAST:
260,Radiology,CHEST AP PORTABLE:
259,Radiology,DATE OF SERVICE:
258,Radiology,DATE OF EXAMINATION:
257,Radiology,SINGLE AP VIEW OF THE CHEST:
256,Radiology,LIMITED ABDOMINAL ULTRASOUND:
251,Radiology,CT OF THE CHEST WITH AND WITHOUT IV CONTRAST:
248,Radiology, :
247,Radiology,GFR:
247,Radiology,DIAGNOSIS:
246,Radiology,CT OF THE CHEST WITHOUT INTRAVENOUS CONTRAST:
245,Radiology,SINGLE PORTABLE CHEST RADIOGRAPH:
243,Radiology,PELVIS WITH CONTRAST:
243,Radiology,FOUR VIEWS:
240,Radiology,PORTABLE UPRIGHT CHEST RADIOGRAPH:
237,Radiology,CONTRAST CT HEAD:
237,Radiology,TIME OF EXAM:
235,Radiology,REASON FOR THE EXAMINATION:
234,Radiology,REFORMATTED IMAGES:
233,Radiology,PA AND LATERAL RADIOGRAPHS OF THE CHEST:
232,Radiology,AP AND LATERAL:
227,Radiology,CT OF THE ABDOMEN WITHOUT AND WITH INTRAVENOUS CONTRAST:
225,Radiology,CONTRAST HEAD CT SCAN:
221,Radiology,SINGLE FRONTAL CHEST RADIOGRAPH:
218,Radiology,AP SUPINE CHEST RADIOGRAPH:
218,Radiology,HEAD ULTRASOUND:
216,Radiology,RENAL TRANSPLANT ULTRASOUND:
215,Radiology,PORTABLE ABDOMEN:
214,Radiology,DESCRIPTION OF PROCEDURE:
213,Radiology,RIGHT KNEE:
212,Radiology,HEAD CTA:
212,Radiology,AM:
210,Radiology,PROC:
209,Radiology,FINDINGS AND IMPRESSION:
207,Radiology,PORTABLE UPRIGHT CHEST:
207,Radiology,CT THORAX:
206,Radiology,DOB:
206,Radiology,LEFT KNEE:
205,Radiology,PORTABLE SUPINE CHEST RADIOGRAPH:
205,Radiology,FRONTAL AND LATERAL VIEWS OF THE CHEST:
205,Radiology,AP UPRIGHT PORTABLE CHEST:
204,Radiology,ATTENDING NOTE:
204,Radiology,SUPINE ABDOMEN:
204,Radiology,ABDOMEN WITH CONTRAST:
203,Radiology,HR:
3424,Rehab Services,Transfer:
3418,Rehab Services,Rolling:
3295,Rehab Services,Balance:
3259,Rehab Services,Total distance walked:
3256,Rehab Services,Minutes:
3196,Rehab Services,Ambulation:
3138,Rehab Services,Stairs:
2687,Rehab Services,Other:
2267,Rehab Services,Medications:
2252,Rehab Services,Radiology:
2165,Rehab Services,Time frame:
2164,Rehab Services,Diagnosis:
2157,Rehab Services,Labs:
2121,Rehab Services,Posture:
2068,Rehab Services,Other labs:
1971,Rehab Services,Intervention:
1933,Rehab Services,Referral date:
1932,Rehab Services,Reason of referral:
1172,Rehab Services,Assessment:
1149,Rehab Services,Objective:
1147,Rehab Services,Updated medical status:
1077,Rehab Services,Gait:
1066,Rehab Services,Face time:
1023,Rehab Services,Plan:
885,Rehab Services,Total time:
669,Rehab Services,Secretions:
662,Rehab Services,Teeth:
280,Rehab Services,Time:
207,Rehab Services,Date:
83723,Respiratory ,Comments:
37281,Respiratory ,Type:
37259,Respiratory ,Size:
28128,Respiratory ,Day of mechanical ventilation:
27777,Respiratory ,Ideal body weight:
27760,Respiratory ,Ideal tidal volume:
26821,Respiratory ,Level of breathing assistance:
26715,Respiratory ,Visual assessment of breathing pattern:
25657,Respiratory ,Reason for continuing current ventilatory support:
25081,Respiratory ,Assessment of breathing comfort:
24216,Respiratory ,Day of intubation:
23199,Respiratory ,Route:
22970,Respiratory ,Cuff pressure:
22882,Respiratory ,Trigger work assessment:
22789,Respiratory ,Position:
22698,Respiratory ,Known difficult intubation:
21661,Respiratory ,Invasive ventilation assessment:
16423,Respiratory ,Cuff volume:
16044,Respiratory ,Procedure location:
15955,Respiratory ,Reason:
13619,Respiratory ,Manufacturer:
13522,Respiratory ,Tracheostomy tube:
13246,Respiratory ,Dysynchrony assessment:
13123,Respiratory ,Airway problems:
12229,Respiratory ,Transports:
242,Respiratory ,Duration:
242,Respiratory ,Times per shift:
209,Respiratory ,Press:
1030,Social Work,Previous living situation:
1028,Social Work,Previous level of functioning:
1020,Social Work,Employment status:
1019,Social Work,Past psychiatric history:
1018,Social Work,Past addictions history:
1007,Social Work,Communication or visitation restriction:
996,Social Work,Legal involvement:
347,Social Work,Assessment:
206,Social Work,Plan:
201,Social Work,Continuing issues to be addressed:
